code_entreprise|code_etablissement|departement|ville|nom_etablissement|code_naf
000325175|00057|13|MARSEILLE 4|MONSIEUR THIERRY JANOYER|3212Z
005420021|00056|80|ABBEVILLE|ETABLISSEMENTS LUCIEN BIQUEZ|4669B
005420120|00015|80|RUE|SOCIETE DES SUCRERIES DU MARQUENTERRE|1081Z
005420120|00023|62|RANG DU FLIERS|SOCIETE DES SUCRERIES DU MARQUENTERRE|5210B
005420120|00031|62|MARCONNELLE|SOCIETE DES SUCRERIES DU MARQUENTERRE|7010Z
005420120|00049|62|CONCHIL LE TEMPLE|SOCIETE DES SUCRERIES DU MARQUENTERRE|4675Z
005440110|00061|04|DIGNE-LES-BAINS|MONSIEUR RENE CAMAU|6820B
005440565|00017|04|SISTERON|MONSIEUR LEONCE MICHEL|6820B
005450093|00033|04|GREOUX LES BAINS|BASALPINE AUTOCARS|4778C
005450093|00041|04|GREOUX LES BAINS|BASALPINE AUTOCARS|4771Z
005450119|00028|04|DIGNE-LES-BAINS|LE GRAND CAFE ET GASSENDI|7010Z
005450119|00036|04|DIGNE-LES-BAINS|LE GRAND CAFE ET GASSENDI|5630Z
005471800|00028|44|GUERANDE|MONSIEUR ALFIERO TURCHI|6820B
005472980|00019|44|CORDEMAIS|MONSIEUR HENRI DOCEUL|6820B
005473202|00025|44|COUERON|MONSIEUR HENRI MARTIN|6820B
005474960|00019|44|SAINT NAZAIRE|MADAME MARIA BRAKL|6820B
005480546|00018|44|GUERANDE|SOCIETE DE DISTRIBUTION DE PAPIER|1712Z
005520028|00019|80|DARGNIES|ETABLISSEMENTS SUEUR ET FILS|6820B
005520077|00016|80|FEUQUIERES EN VIMEU|ETABLISSEMENTS MERCIER|2572Z
005520176|00016|80|FEUQUIERES EN VIMEU|HERNAS CARTONNAGE|1721A
005520176|00032|80|CHEPY|HERNAS CARTONNAGE|1721A
005520242|00016|80|LONGPRE LES CORPS SAINTS|PROSPA|2030Z
005520325|00019|80|DARGNIES|ETABLISSEMENTS ADRIEN RIQUIER|4674B
005540273|00025|04|BARREME|MONSIEUR PAUL POILROUX|6820B
005540661|00021|04|DIGNE-LES-BAINS|MADAME MARIE AVON|6820B
005541206|00024|04|ENTREVAUX|MONSIEUR ANDRE RIZZO|6820B
005541438|00023|04|DIGNE-LES-BAINS|MONSIEUR GILBERT CHASPOUL|6820B
005541552|00013|04|BEAUVEZER|ETABLISSEMENTS BONNET FRERES|5510Z
005541552|00039|04|ALLOS|ETABLISSEMENTS BONNET FRERES|5610C
005541867|00023|83|LES ARCS|MONSIEUR ROBERT JAUFFRET|6820B
005550108|00012|04|SEYNE LES ALPES|EMILE BARNEAUD ET FILS|4932Z
005577325|00029|44|GUERANDE|MONSIEUR ANDRE BARON|6820B
005580113|00032|44|SAINT NAZAIRE|L ABRI FAMILIAL|6820A
005580436|00060|85|MOUCHAMPS|BAUDINVEST|7022Z
005580501|00012|44|SAINT NAZAIRE|SOC GLACIERES FRIGO SAINT NAZAIRE|5210A
005580501|00046|75|PARIS 8|SOC GLACIERES FRIGO SAINT NAZAIRE|5210A
005611074|00013|80|ABBEVILLE|MONSIEUR GERARD BOURGEOIS|0142Z
005620034|00016|80|ABBEVILLE|ETABLISSEMENTS ROGER|4673A
005620034|00024|76|ROUXMESNIL BOUTEILLES|ETABLISSEMENTS ROGER|4673A
005620117|00019|80|ABBEVILLE|ETABLISSEMENTS DUBOIS|4669B
005620117|00027|80|AMIENS|ETABLISSEMENTS DUBOIS|4669B
005620158|00013|80|QUEND|SNC BARRE|6820B
005620174|00028|80|HAM|SOCIETE RIQUIER ET CIE|4520A
005620174|00036|80|CAHON|SOCIETE RIQUIER ET CIE|4520A
005620190|00057|76|LE TREPORT|L OISEAU BLEU|4939A
005620190|00065|80|ABBEVILLE|L OISEAU BLEU|4939A
005620281|00013|80|ABBEVILLE|DEGOMME PIERRE|6820B
005640602|00024|04|SAINT PAUL SUR UBAYE|MONSIEUR ROGER TORMENTO|5630Z
005640602|00032|04|ENCHASTRAYES|MONSIEUR ROGER TORMENTO|9319Z
005641154|00025|04|BARCELONNETTE|MONSIEUR EMILE SICARD|6831Z
005650031|00015|04|ANNOT|SARL RIGAULT ET CIE|1013A
005650031|00023|04|ANNOT|SARL RIGAULT ET CIE|1013A
005650148|00033|04|DIGNE-LES-BAINS|SOC COOP PRODUCTION ALPES HTE PROVENCE|6820A
005670062|00032|44|PORNICHET|MONSIEUR ROGER LE MASSON|6820B
005671870|00011|44|GUERANDE|MADAME MARIE NOGUES|5510Z
005673348|00016|44|LA BAULE ESCOUBLAC|MADAME ROLANDE SEHIER|6820B
005675459|00019|44|PONTCHATEAU|MONSIEUR JEAN NOBLET|6820B
005680145|00017|44|MONTOIR DE BRETAGNE|PROMENS MONTOIR DE BRETAGNE SAS|2222Z
005680541|00025|44|GUERANDE|IMMOBILIERE ATELIERS DAVID|6820B
005720164|00028|80|ABBEVILLE|SA SAINTE ISABELLE|8610Z
005720313|00039|80|SAINT QUENTIN EN TOURMONT|SOCIETE ANONYME DES DUNES DE LA SOMME|6832A
005720362|00010|80|ABBEVILLE|TERNISIEN DUCLERCQ|4761Z
005720552|00032|80|BOUTTENCOURT|LALLOT PICARDIE|2573A
005720594|00034|80|ABBEVILLE|LES TRANSPORTS COMMERCIAUX|4941A
005720602|00043|92|CLICHY|SOC IMMOBILIERE MONOPRIX ABBEVILLE|6820B
