code|secteur_activité|departement|ville|nom_etablissement|code_naf|code_entreprise|code_etablissement|nom_etablissement|longitude|latitude|NIV1|effectif
660|7|61|ARGENTAN|MEKALAB|6202A|803673896|00012|MEKALAB|-0.016667|48.75|J|1
1218|6|50|AVRANCHES|AD VALORIS|6630Z|500465661|00014|AD VALORIS|-1.36667|48.6833|K|2
1641|13|29|BREST|LA POSTE|5310Z|356000000|13179|LA POSTE|-4.48333|48.4|H|1
1747|6|14|CAEN|BNP PARIBAS|6419Z|662042449|35317|BNP PARIBAS|-0.35|49.1833|K|11
673|2|33|CESTAS|LECTRA|2894Z|300702305|00040|LECTRA|-0.683333|44.7333|C|1
61|12|14|COLOMBELLES|CHACUN CHERCHE SON FILM|6312Z|815341565|00019|CHACUN CHERCHE SON FILM|-0.3|49.2|J|1
721|7|92|COLOMBES|SAFRAN AIRCRAFT ENGINES|3030Z|414815217|00131|SAFRAN AIRCRAFT ENGINES|2.25|48.9167|C|1
1685|2|72|CONNERRE|PRUNIER|1013A|349050021|00022|PRUNIER|0.5|48.05|C|1
1595|6|14|DEAUVILLE|BNP PARIBAS|6419Z|662042449|43196|BNP PARIBAS|0.075277|49.36|K|1
863|4|14|EVRECY|DESSERT INNOVATION|1072Z|492372552|00025|DESSERT INNOVATION|-0.5|49.1|C|1
341|2|14|FALAISE|QOVANS|6420Z|414517623|00032|QOVANS|-0.2|48.9|K|1
831|2|92|GENNEVILLIERS|EXIDE TECHNOLOGIES SAS|2720Z|682030895|00861|EXIDE TECHNOLOGIES SAS|2.3|48.9333|C|1
826|6|50|GRANVILLE|CO PILOTES|6920Z|444034151|00027|CO PILOTES|-1.6|48.8333|M|1
1090|5|38|GRENOBLE|AVISTO TELECOM|6201Z|453606675|00057|AVISTO TELECOM|5.71667|45.1667|J|1
1705|2|35|GUICHEN|NORMA AUTOLINE FRANCE|2599B|822476370|00025|NORMA AUTOLINE FRANCE|-1.8|47.9667|C|1
1886|6|76|LE HAVRE|DERO COURTAGE|6622Z|488743477|00025|DERO COURTAGE|0.133333|49.5|K|1
1076|2|50|LESSAY|FLORETTE FRANCE GMS|1039A|451353734|00010|FLORETTE FRANCE GMS|-1.53333|49.2167|C|1
1820|13|76|LILLEBONNE|CAUX SEINE DEVELOPPEMENT|9499Z|507887917|00015|CAUX SEINE DEVELOPPEMENT|0.55|49.5167|S|1
1350|3|92|MALAKOFF|AXIONE|6190Z|449586544|00438|AXIONE|2.3|48.8167|J|1
717|4|14|MONDEVILLE|SPS FILETS|4649Z|528569825|00011|SPS FILETS|-0.316667|49.1667|G|1
209|6|93|MONTREUIL|BNP PARIBAS|6419Z|662042449|40788|BNP PARIBAS|2.43333|48.8667|K|1
1770|6|44|NANTES|KPMG|6920Z|775726417|05625|KPMG|-1.55|47.2167|M|3
1569|8|92|PUTEAUX|WAVESTONE|6202A|377550249|00041|WAVESTONE|2.23333|48.8667|J|2
1652|11|67|STRASBOURG|ROUTE NOUVELLE ALSACE|8790B|329490148|00031|ROUTE NOUVELLE ALSACE|7.75|48.5833|Q|1
1331|11|92|SURESNES|LES LABORATOIRES SERVIER|2120Z|085480796|00151|LES LABORATOIRES SERVIER|2.23333|48.8667|C|1
15|2|83|TOULON|NAVAL GROUP|3011Z|441133808|00085|NAVAL GROUP|5.93333|43.1167|C|1
1428|2|59|TOURCOING|VERQUIN CONFISEUR|1082Z|334381159|00022|VERQUIN CONFISEUR|3.15|50.7167|C|1
